s0,s10,s90,s90d,red_flag
88,71,85,6,0
114,69,79,21,0
103,97,129,18,0
57,32,12,5,0
98,88,123,13,0
100,83,97,7,0
97,88,84,2,0
40,30,8,0,0
93,77,99,13,0
110,75,92,8,0
122,75,129,26,0
92,71,73,7,0
94,71,68,12,0
94,71,66,10,0
71,62,19,7,0
98,78,83,10,0
84,68,46,6,0
123,117,142,21,0
95,63,85,4,0
103,80,98,15,0
43,24,4,2,0
96,74,68,4,0
101,72,87,21,0
106,77,128,11,0
102,77,97,11,0
97,81,129,8,0
101,77,81,12,0
42,35,9,0,0
96,73,91,12,0
110,83,114,14,0
97,95,116,20,0
35,27,7,2,0
82,64,62,7,0
42,27,14,1,0
117,53,33,6,0
96,76,72,10,0
95,68,91,19,0
100,70,87,14,0
96,92,76,3,0
89,64,48,2,0
41,36,7,3,0
104,73,91,11,0
88,63,78,6,0
92,75,88,10,0
100,74,79,12,0
92,63,67,7,0
100,76,82,9,0
89,68,71,13,0
99,79,86,12,0
95,88,135,4,0
88,63,93,11,0
93,74,77,9,0
49,35,14,0,0
36,22,8,0,0
105,81,111,6,0
99,74,67,8,0
94,68,100,14,0
12,13,1,0,0
105,79,98,15,0
78,71,60,2,0
11,14,6,0,0
76,68,40,8,0
109,77,113,14,0
36,34,4,1,0
89,64,64,4,0
44,29,2,0,0
116,84,131,11,0
84,64,69,9,0
103,73,88,15,0
94,67,73,10,0
90,75,67,9,0
40,28,3,0,0
38,35,9,3,0
37,25,8,0,0
44,39,12,0,0
93,71,98,22,0
91,70,86,8,0
58,45,19,5,0
108,86,107,20,0
97,79,83,9,0
94,65,82,10,0
94,76,68,5,0
99,65,59,9,0
101,69,82,6,0
99,76,100,15,0
50,39,8,4,0
111,86,114,18,0
103,85,88,13,0
97,79,105,11,0
103,84,63,16,0
49,29,15,4,0
96,67,100,22,0
105,86,97,14,0
92,82,57,10,0
93,70,85,15,0
107,78,95,20,0
39,23,5,2,0
12,10,35,5,0
111,89,152,22,0
89,64,74,8,0
10,13,2,1,0
100,53,71,17,0
87,61,64,14,0
36,37,13,4,0
93,75,76,6,0
90,64,101,14,0
82,74,80,9,0
113,78,130,18,0
85,68,66,2,0
38,34,2,0,0
98,74,51,9,0
93,76,84,8,0
29,24,11,1,0
81,66,68,8,0
98,81,84,10,0
99,86,137,8,0
86,37,17,1,0
92,80,87,13,0
87,67,58,9,0
105,75,104,14,0
106,70,62,5,0
44,39,13,5,0
126,68,132,31,0
107,74,152,15,0
101,80,70,13,0
13,10,4,1,0
87,70,86,8,0
106,71,71,3,0
110,78,84,9,0
97,73,87,7,0
89,64,62,16,0
94,66,64,7,0
99,78,79,11,0
40,27,8,0,0
138,81,153,26,0
27,23,7,0,0
81,70,56,10,0
83,80,111,20,0
47,28,9,0,0
93,86,63,14,0
98,85,118,12,0
80,66,68,5,0
84,73,53,8,0
93,84,55,11,0
84,75,62,8,0
54,45,11,1,0
111,76,127,29,0
11,14,4,0,0
47,40,13,1,0
91,75,69,13,0
99,62,83,12,0
40,38,9,2,0
38,34,5,0,0
102,75,146,19,0
98,81,102,9,0
85,45,21,3,0
38,35,5,1,0
99,76,81,13,0
62,36,14,21,0
70,36,10,1,0
94,108,104,11,0
115,51,64,14,0
39,28,6,0,0
88,78,83,10,0
105,86,97,15,0
38,42,5,0,0
43,29,10,4,0
39,28,3,0,0
93,45,16,0,0
122,90,132,13,0
91,70,68,6,0
101,82,119,17,0
95,73,75,10,0
98,84,85,9,0
99,63,78,11,0
92,82,78,18,0
106,74,128,9,0
43,32,14,1,0
16,18,2,1,0
95,71,75,17,0
99,80,108,19,0
105,67,109,11,0
112,79,118,9,0
96,70,75,7,0
102,58,62,11,0
49,26,16,0,0
47,40,14,2,0
87,77,93,11,0
108,80,100,9,0
82,62,47,9,0
109,78,95,7,0
90,74,70,4,0
94,76,64,10,0
11,10,1,1,0
79,67,73,10,0
102,78,101,7,0
124,252,249,248,1
42,17,16,0,0
88,68,61,0,0
95,78,119,18,0
79,41,14,5,0
76,63,53,7,0
85,71,85,8,0
97,65,73,5,0
113,83,139,8,0
124,83,137,9,0
111,69,103,17,0
97,83,56,1,0
34,24,5,2,0
103,68,123,20,0
100,74,87,10,0
43,32,5,1,0
101,76,96,8,0
103,80,90,5,0
38,26,12,3,0
96,79,94,28,0
101,73,73,5,0
87,41,20,1,0
100,59,117,17,0
95,69,81,14,0
100,86,133,13,0
116,79,127,20,0
39,23,5,2,0
98,70,65,15,0
105,70,104,13,0
105,77,87,8,0
88,73,71,10,0
92,84,85,14,0
74,44,15,4,0
94,74,86,10,0
35,30,5,1,0
31,18,12,0,0
120,78,138,25,0
95,70,99,22,0
87,72,64,19,0
127,80,173,35,0
46,29,5,2,0
45,43,9,2,0
107,69,114,12,0
103,85,102,21,0
95,75,88,10,0
91,67,58,6,0
96,80,52,9,0
108,77,124,15,0
99,84,90,7,0
104,81,80,15,0
90,65,58,12,0
102,79,100,14,0
84,69,68,3,0
99,80,58,14,0
106,79,104,20,0
113,67,77,13,0
42,33,11,4,0
79,25,28,0,0
91,67,85,9,0
89,65,74,8,0
84,66,81,5,0
111,88,94,14,0
85,74,92,9,0
82,51,15,2,0
119,78,132,15,0
101,71,71,10,0
102,50,14,3,0
89,62,71,3,0
101,80,86,17,0
30,26,5,6,0
115,82,110,19,0
107,74,139,16,0
101,79,138,18,0
102,46,19,1,0
98,65,63,10,0
107,83,89,14,0
107,71,93,8,0
41,40,5,5,0
45,35,4,1,0
96,73,87,12,0
110,75,118,7,0
104,85,103,19,0
104,70,93,16,0
95,80,63,7,0
86,65,89,6,0
102,78,86,10,0
43,35,4,0,0
45,29,13,0,0
117,68,110,33,0
58,34,12,2,0
110,80,90,18,0
111,79,109,17,0
27,23,1,2,0
102,70,76,19,0
104,77,122,24,0
88,60,89,3,0
41,25,4,1,0
37,29,15,0,0
100,77,78,5,0
46,33,19,4,0
101,64,106,17,0
89,79,88,12,0
53,21,10,0,0
99,72,97,9,0
31,29,9,0,0
45,29,10,0,0
100,97,75,10,0
105,73,116,18,0
46,29,8,0,0
92,69,77,14,0
100,45,109,11,0
212,208,219,25,1
90,64,74,8,0
100,74,88,9,0
108,91,89,14,0
86,64,71,6,0
78,71,49,14,0
35,23,13,0,0
101,77,97,28,0
83,71,55,5,0
66,34,13,4,0
98,74,78,12,0
13,14,2,0,0
26,23,5,2,0
102,86,99,16,0
42,27,12,3,0
99,75,92,11,0
99,78,112,23,0
49,35,10,0,0
40,34,7,2,0
50,40,6,3,0
103,96,132,9,0
49,30,15,0,0
102,72,95,14,0
100,71,89,19,0
57,30,13,2,0
15,14,3,3,0
47,29,9,2,0
113,93,141,15,0
120,89,158,35,0
38,34,5,6,0
104,78,100,20,0
108,81,95,11,0
34,20,6,0,0
91,76,81,18,0
46,42,7,6,0
107,64,94,11,0
108,76,77,3,0
16,13,6,1,0
55,30,9,5,0
111,75,181,17,0
105,95,133,18,0
82,67,56,8,0
92,71,88,4,0
44,35,5,1,0
88,59,55,7,0
89,71,77,6,0
48,26,10,5,0
107,71,113,15,0
100,79,100,5,0
15,19,1,5,0
112,81,118,18,0
111,78,132,11,0
106,83,115,17,0
44,39,8,5,0
92,77,64,4,0
75,67,39,0,0
89,68,71,10,0
41,34,8,0,0
103,72,78,8,0
102,75,94,15,0
106,79,96,15,0
40,29,7,0,0
115,71,112,12,0
110,100,86,14,0
55,33,13,1,0
35,33,11,0,0
96,65,68,9,0
39,24,3,2,0
91,62,61,10,0
97,68,94,7,0
106,78,136,30,0
104,72,90,19,0
39,37,11,2,0
115,83,111,17,0
101,64,70,9,0
47,33,12,2,0
51,31,13,0,0
55,38,19,0,0
116,88,121,13,0
49,42,5,2,0
107,83,147,10,0
87,71,69,13,0
90,46,23,2,0
39,38,7,5,0
104,62,89,21,0
93,72,81,5,0
103,90,128,22,0
88,48,22,0,0
93,75,145,23,0
91,79,75,16,0
101,71,88,11,0
31,18,3,1,0
53,39,13,0,0
31,26,9,2,0
