s0,s10,s90,s90d
8,21,106,66
87,156,249,248
10,20,15,18
90,122,77,248
18,22,88,74
78,133,249,248
73,151,249,248
56,26,249,248
95,127,249,248
73,126,26,92
73,47,58,189
22,137,249,248
39,124,249,248
32,29,249,248
74,47,46,115
252,252,249,248
8,229,249,248
252,205,249,248
109,177,192,248
68,50,54,148
251,185,249,248
143,164,249,248
96,150,249,248
76,62,249,248
134,87,249,248
50,76,194,224
69,48,57,163
35,163,249,248
75,52,55,165
252,204,249,248
122,179,0,70
72,50,66,248
206,195,249,248
116,171,14,109
77,49,54,128
173,134,25,248
63,75,249,248
74,48,66,212
16,220,249,248
52,167,249,248
11,16,12,33
75,47,46,171
176,199,249,248
89,176,249,209
76,52,56,196
249,193,249,248
63,151,249,248
25,111,140,50
75,50,50,147
123,229,249,248
74,48,51,122
124,222,249,248
73,44,41,118
55,105,249,248
75,49,49,161
118,222,249,248
72,51,49,175
64,213,249,248
118,191,249,248
72,51,77,248
127,155,249,248
74,51,58,161
109,250,249,248
138,247,249,248
25,27,249,119
76,49,48,176
252,251,249,248
198,249,249,201
115,84,120,32
75,53,63,189
251,252,249,248
113,251,249,248
137,250,249,248
76,76,104,72
103,71,53,9
49,27,8,1
45,38,6,2
43,36,7,0
69,50,60,224
249,189,249,248
48,151,249,248
104,87,98,16
76,43,55,116
65,171,249,248
52,31,12,2
69,51,65,142
252,252,249,248
106,251,249,248
108,78,105,12
110,88,69,11
37,31,2,0
106,81,79,14
129,98,159,23
77,83,97,73
40,41,4,0
109,91,123,11
75,45,43,149
121,236,249,248
17,20,7,0
70,50,47,136
73,47,56,137
130,219,249,236
105,96,71,7
51,30,7,3
98,76,69,10
37,31,4,1
127,103,117,23
75,48,51,128
116,240,249,248
109,83,86,13
69,50,31,122
132,252,249,248
119,88,148,24
110,56,16,0
98,78,70,11
76,49,9,0
89,44,14,0
94,77,85,11
167,123,149,18
47,36,9,4
115,63,22,2
93,79,113,17
126,75,117,16
114,70,91,17
11,10,5,0
49,34,5,0
112,80,137,20
108,94,105,13
64,26,8,0
99,51,22,3
104,252,249,248
73,48,45,133
210,252,249,248
196,251,249,248
39,38,3,0
107,73,89,23
95,87,113,15
53,40,8,1
116,81,116,19
116,81,87,18
58,37,14,0
109,75,85,17
49,36,9,8
115,88,100,14
90,66,77,11
122,91,154,39
76,71,65,55
109,99,129,17
73,51,54,158
252,251,249,248
128,250,249,248
85,92,129,42
104,85,149,11
82,83,84,13
104,81,106,10
46,34,9,1
11,13,98,66
106,44,34,5
100,88,88,13
74,49,59,139
100,248,249,248
61,36,7,0
113,98,107,22
101,81,90,21
104,95,103,9
113,77,105,18
59,45,10,0
101,55,21,8
108,86,141,12
103,74,106,15
66,101,129,108
46,34,9,4
40,26,4,1
125,127,154,23
56,44,8,1
120,104,90,21
71,45,44,123
15,192,249,248
13,9,1,7
44,16,6,10
34,38,2,5
31,28,9,5
111,81,93,17
114,73,81,14
126,115,127,14
41,33,8,0
125,86,100,18
96,88,71,12
120,85,144,27
101,83,71,3
118,86,114,18
45,31,2,0
110,94,79,12
109,83,92,8
55,33,6,3
103,78,60,11
113,73,92,15
53,51,9,0
122,110,136,30
52,43,5,5
53,44,5,0
54,32,6,2
98,67,71,6
124,124,168,22
51,34,12,0
49,31,7,3
110,82,92,22
136,79,143,33
109,80,96,15
98,50,31,2
112,88,98,21
109,95,123,19
101,80,69,21
46,36,6,2
45,36,3,6
134,129,122,23
111,75,124,17
53,32,7,1
135,117,115,11
100,71,89,12
93,74,87,13
99,90,86,15
125,252,249,248
40,39,79,13
102,88,128,25
95,70,71,5
46,37,3,2
73,52,21,102
126,252,249,248
112,90,108,20
13,17,9,0
47,37,7,2
60,31,8,0
143,113,173,30
138,113,135,21
54,43,10,0
133,118,150,45
107,81,114,14
53,40,4,0
73,70,41,3
103,75,96,10
103,71,68,6
51,34,12,0
60,49,14,0
114,93,108,12
100,85,103,18
86,79,71,7
39,33,4,0
112,46,34,3
109,90,119,30
36,41,2,1
109,100,157,13
17,18,13,3
35,32,8,0
47,33,9,0
51,65,122,49
97,50,22,1
100,67,81,7
45,49,76,6
101,86,87,16
40,32,4,0
52,43,3,1
114,90,122,20
40,33,15,1
40,39,4,0
42,37,4,2
119,69,83,20
106,75,90,14
48,22,14,0
38,34,2,2
54,37,7,3
54,61,249,248
74,73,42,6
45,19,13,0
96,67,67,5
107,79,116,9
116,76,138,20
44,37,12,3
73,79,66,8
124,79,105,20
35,29,4,3
105,77,78,16
41,36,5,3
36,27,3,0
52,29,6,1
92,72,62,8
47,39,9,0
48,37,6,1
118,84,98,29
91,65,77,17
46,30,9,4
46,30,7,0
36,22,12,4
46,37,6,2
13,19,9,0
105,73,110,20
50,36,5,0
51,38,15,0
55,42,14,2
37,25,7,0
132,86,190,30
113,77,117,23
115,84,69,15
47,27,6,7
106,87,107,22
120,84,113,15
47,40,2,1
56,33,9,0
99,85,91,12
45,35,8,4
127,83,149,15
115,83,77,11
40,42,5,2
104,81,67,18
110,79,98,21
106,83,95,16
102,72,81,13
103,70,90,3
75,47,108,248
124,193,249,248
106,78,76,18
117,100,112,18
106,53,28,0
107,80,113,11
105,77,87,4
51,37,8,0
104,88,71,11
99,74,112,11
117,77,109,8
110,76,60,17
123,86,165,29
80,70,72,11
11,17,6,3
44,36,4,0
47,40,8,2
90,66,86,13
119,73,136,18
44,32,5,3
115,98,112,19
109,76,104,8
56,41,4,4
98,81,96,10
108,80,85,13
62,36,13,3
117,104,80,10
101,86,125,23
109,50,31,1
49,29,9,0
41,44,5,3
117,95,132,10
106,86,91,6
88,71,77,4
100,86,76,13
99,79,86,7
99,76,62,5
111,55,75,9
111,85,112,22
113,83,89,13
16,18,7,2
115,83,119,18
105,74,120,34
110,77,124,17
38,33,5,0
113,76,73,7
97,81,54,11
114,88,98,20
102,83,103,15
15,17,30,6
105,75,64,14
95,82,83,10
76,53,11,5
112,75,80,5
97,54,16,0
60,49,25,8
118,120,122,20
101,74,110,24
19,22,8,20
45,35,8,0
124,86,123,17
30,31,3,1
107,76,85,9
51,30,9,2
106,83,97,21
115,81,101,12
110,88,74,14
72,79,64,72
55,34,10,0
105,77,84,6
123,86,129,20
120,96,135,15
116,90,96,15
58,27,13,0
102,70,87,15
97,67,59,21
101,67,63,11
33,30,4,0
108,74,84,7
54,37,9,4
90,43,18,1
101,81,97,12
98,77,131,21
93,44,22,6
33,29,4,2
40,38,6,0
115,95,86,22
36,27,6,0
43,35,9,1
122,103,137,19
48,34,14,2
117,93,116,18
35,27,4,0
115,75,89,8
