s0,s10,s90,s90d
83,122,22,122
37,44,10,60
31,40,249,248
17,22,15,22
68,141,249,248
69,53,79,248
251,169,249,248
70,161,249,248
78,144,249,248
66,41,15,75
75,97,249,248
37,52,249,238
70,49,66,155
218,144,249,248
27,128,249,248
74,46,42,133
208,220,249,248
60,185,249,248
73,48,46,123
198,215,249,248
116,196,249,248
74,53,81,243
44,124,249,248
125,118,249,248
73,50,73,248
122,235,249,248
71,51,73,215
59,183,249,248
23,171,249,180
76,50,57,138
229,213,249,248
107,180,16,248
114,76,153,22
12,18,2,0
74,50,55,177
218,252,249,248
252,251,249,248
44,31,7,0
46,38,6,1
31,25,12,3
49,36,8,5
45,35,3,3
48,36,11,2
103,77,83,8
89,83,77,5
61,54,9,5
100,63,100,10
61,94,29,109
63,67,14,2
104,86,99,12
101,52,10,0
108,79,104,9
73,44,40,116
123,214,249,195
72,53,65,204
99,249,249,248
47,36,4,6
108,81,129,16
54,37,10,0
113,85,99,10
53,34,14,0
51,21,9,3
50,42,11,0
44,32,10,0
88,69,87,15
68,88,62,125
43,16,10,0
107,85,98,9
36,27,15,0
41,32,14,4
72,47,36,101
122,252,249,248
38,28,6,2
48,36,8,5
107,90,133,40
11,18,4,2
102,74,78,11
111,86,138,23
46,33,3,0
90,58,94,18
40,45,249,248
94,56,22,3
100,52,19,1
143,123,180,33
83,72,57,8
112,78,110,21
121,82,127,19
34,22,9,0
66,61,15,3
123,87,123,31
54,37,13,3
109,80,66,8
105,79,65,9
97,77,70,11
106,96,125,20
150,114,140,16
68,67,148,248
252,206,249,248
58,175,249,248
39,36,1,0
108,82,59,4
100,78,73,10
87,114,146,100
80,50,19,84
97,252,249,248
92,59,46,8
44,27,5,0
95,68,66,10
96,151,249,248
91,79,90,7
99,71,107,18
12,36,29,40
47,34,3,0
73,49,45,133
225,252,249,248
246,251,249,248
91,67,84,11
71,27,16,2
30,23,8,0
118,73,91,14
43,39,6,0
49,40,6,1
29,19,15,0
134,110,106,20
43,52,20,82
110,80,155,25
51,73,18,98
49,38,8,0
35,29,5,0
45,35,5,2
74,52,57,165
251,252,249,248
252,251,249,248
61,37,8,37
88,82,67,13
40,32,15,1
106,80,123,18
96,73,86,5
46,40,6,0
101,84,106,21
49,28,13,1
92,64,87,7
49,45,4,0
101,64,94,7
98,69,90,4
47,45,4,0
37,29,6,1
39,40,3,0
37,37,6,2
44,41,10,3
44,31,9,0
53,39,12,1
53,33,11,0
12,22,6,0
111,77,101,17
112,93,130,12
42,33,6,1
40,36,6,0
102,45,24,0
41,32,11,0
82,50,13,1
43,37,8,2
21,21,6,2
100,69,64,7
42,38,3,0
77,96,68,44
47,39,8,0
60,42,16,3
45,35,4,2
38,24,7,3
96,73,91,11
47,35,7,0
72,17,36,1
108,89,112,14
80,24,20,0
102,73,110,17
105,53,29,7
112,80,164,26
95,75,94,22
48,34,13,0
54,39,14,0
108,74,98,13
57,40,12,0
39,31,8,3
18,27,17,2
28,29,6,0
55,64,249,248
32,29,6,0
96,68,73,10
52,42,8,0
95,75,90,8
76,54,82,180
55,252,249,248
132,251,249,248
102,76,104,12
13,13,7,1
48,34,7,0
117,72,96,5
31,33,15,3
39,38,2,1
43,39,6,0
98,76,129,27
42,33,5,5
44,37,5,3
36,26,8,0
55,37,10,0
36,46,42,3
96,77,95,12
118,82,112,18
49,32,11,2
66,57,9,0
106,80,94,21
37,33,2,4
54,41,6,0
44,35,9,0
44,35,13,1
44,34,8,0
97,79,80,13
93,62,68,5
11,16,6,4
49,32,6,3
39,36,5,2
121,78,119,12
53,39,10,1
97,75,83,5
46,30,9,4
117,69,141,16
78,58,60,5
93,68,72,8
33,29,5,0
36,31,8,4
76,68,48,13
75,54,10,105
127,252,249,248
121,102,128,11
59,35,16,0
96,51,23,5
115,70,136,20
36,33,7,0
40,33,11,3
90,49,14,1
107,77,101,12
18,13,8,2
103,50,25,1
33,35,5,1
104,83,113,13
84,61,56,6
83,72,66,10
110,78,108,18
35,28,8,0
50,28,12,0
39,27,9,2
39,40,1,0
77,64,72,4
14,21,1,0
74,44,42,119
37,29,9,2
39,30,5,0
37,38,4,0
104,70,58,6
96,63,88,8
107,72,95,13
51,37,7,0
44,33,7,5
111,80,125,9
107,83,64,4
31,31,4,0
41,32,8,4
43,39,6,0
101,67,86,7
46,35,7,0
106,53,16,0
99,75,89,7
105,87,133,18
89,26,25,3
108,78,167,14
67,85,89,44
38,31,9,0
40,30,10,0
43,30,7,2
36,32,4,0
118,90,112,15
121,106,126,15
110,75,109,17
43,40,9,0
45,33,6,2
107,91,119,16
87,80,84,54
47,28,6,2
38,23,4,0
42,35,15,0
109,89,98,20
99,64,95,8
37,34,11,2
40,21,12,0
35,21,8,0
43,36,8,0
94,76,65,4
110,77,116,13
108,103,118,19
41,37,7,2
104,76,123,17
93,70,55,5
109,83,118,11
115,81,130,17
99,73,82,13
78,78,55,52
94,81,142,21
33,21,13,1
80,58,54,2
107,80,100,12
117,83,99,5
46,27,7,1
21,23,13,4
37,34,8,6
41,38,8,0
70,121,138,89
94,61,74,5
46,31,11,0
99,73,101,24
96,80,122,26
78,49,11,4
120,86,117,14
31,29,3,0
11,13,9,1
114,70,98,13
47,34,5,2
11,9,5,1
29,31,7,1
31,34,2,0
31,28,10,0
119,99,128,18
52,35,9,0
101,87,131,23
110,74,112,13
101,84,117,12
97,68,115,5
96,66,73,16
105,74,91,15
76,67,68,60
48,32,8,5
39,32,3,0
90,74,57,4
49,42,8,0
43,29,15,0
41,34,6,2
37,28,8,0
117,84,158,26
43,38,6,0
73,72,105,112
114,93,129,18
99,69,80,6
103,70,90,7
41,27,12,2
101,69,109,21
96,85,96,18
51,35,17,2
102,79,104,8
116,83,137,22
28,23,10,2
93,76,95,19
103,63,90,14
45,37,8,0
86,38,31,0
105,67,154,23
105,74,88,9
93,80,102,18
48,35,11,0
41,35,10,0
102,87,102,22
124,95,100,14
88,65,74,2
81,41,23,5
111,85,135,20
104,71,96,8
102,67,75,6
106,71,89,18
104,70,110,16
45,29,12,0
49,38,13,0
44,28,7,4
82,34,30,7
89,68,79,6
99,75,78,10
107,90,129,8
49,39,14,3
119,86,127,20
31,22,6,0
99,75,85,3
104,72,121,10
52,32,8,0
107,75,96,14
42,36,11,3
63,53,11,0
45,39,14,1
23,23,14,3
90,73,86,6
48,34,6,0
35,26,12,6
129,73,136,11
105,30,26,5
40,30,15,0
88,64,76,3
105,73,91,5
42,28,7,2
36,29,12,0
42,33,18,0
37,28,4,3
40,35,4,2
88,80,87,9
33,23,8,0
36,37,10,0
39,35,12,2
34,39,7,2
56,43,12,2
43,32,11,0
33,32,11,1
104,82,102,10
90,77,104,21
100,82,94,9
99,44,32,1
89,66,73,11
120,80,124,29
101,71,77,21
113,91,104,12
38,31,16,4
28,27,16,0
48,37,11,4
45,37,5,0
47,30,21,3
31,28,6,1
95,63,56,8
107,75,93,11
109,75,119,16
37,34,6,5
37,25,16,4
45,26,14,7
79,67,85,14
118,92,126,19
30,21,10,3
62,39,19,75
77,93,249,248
48,31,15,0
87,78,86,38
98,85,121,24
40,41,6,0
103,79,103,13
41,32,9,0
54,33,11,0
98,64,105,16
50,36,7,0
37,29,8,1
36,36,7,0
38,32,6,2
40,34,6,3
46,34,10,5
31,30,13,1
109,82,104,18
29,30,8,1
17,21,13,0
102,73,107,14
125,78,138,30
